id,brand,model,year,imageKey
ford-mustang-gt500,Ford,Mustang GT-500,1967,focus-mustang-gt500
toyota-gr-supra-a90,Toyota,GR Supra (A90),2020,gr-supra-a90
subaru-wrx-sti-type-ra,Subaru,WRX STI Type RA,2018,wrx-sti-type-ra
porsche-911-turbo-s,Porsche,911 Turbo S,2020,911-turbo-s
mitsubishi-lancer-evolution-ix,Mitsubishi,Lancer Evolution IX,2006,lancer-evolution-ix
ferrari-f8-tributo,Ferrari,F8 Tributo,2020,f8-tributo
